Agency_Text,Sex_Code_Text,Ethnic_Code_Text,AssessmentReason,Language,LegalStatus,CustodyStatus,MaritalStatus,RecSupervisionLevel,RecSupervisionLevelText,Scale_ID,DisplayText,AssessmentType,IsCompleted,IsDeleted,binary_text
PRETRIAL,Male,Caucasian,Intake,English,Pretrial,Jail Inmate,Single,1,Low,8,Risk of Recidivism,New,1,0,Low_Chance
PRETRIAL,Male,Caucasian,Intake,English,Pretrial,Jail Inmate,Married,1,Low,8,Risk of Recidivism,New,1,0,Low_Chance
PRETRIAL,Male,African-American,Intake,English,Pretrial,Jail Inmate,Single,4,High,8,Risk of Recidivism,New,1,0,High_Chance
PRETRIAL,Female,African-American,Intake,English,Pretrial,Jail Inmate,Significant Other,2,Medium,8,Risk of Recidivism,New,1,0,High_Chance
PRETRIAL,Female,African-American,Intake,English,Pretrial,Jail Inmate,Single,1,Low,8,Risk of Recidivism,New,1,0,Low_Chance
PRETRIAL,Female,Caucasian,Intake,English,Pretrial,Jail Inmate,Single,1,Low,8,Risk of Recidivism,New,1,0,Low_Chance
PRETRIAL,Male,African-American,Intake,English,Pretrial,Jail Inmate,Single,3,Medium with Override Consideration,8,Risk of Recidivism,New,1,0,High_Chance
PRETRIAL,Male,Caucasian,Intake,English,Pretrial,Jail Inmate,Single,1,Low,8,Risk of Recidivism,New,1,0,Low_Chance
PRETRIAL,Male,African-American,Intake,English,Pretrial,Jail Inmate,Single,3,Medium with Override Consideration,8,Risk of Recidivism,New,1,0,High_Chance
PRETRIAL,Male,Caucasian,Intake,English,Pretrial,Jail Inmate,Single,1,Low,8,Risk of Recidivism,New,1,0,Low_Chance
PRETRIAL,Female,Caucasian,Intake,English,Pretrial,Jail Inmate,Married,1,Low,8,Risk of Recidivism,New,1,0,Low_Chance
PRETRIAL,Female,African-American,Intake,English,Pretrial,Jail Inmate,Single,1,Low,8,Risk of Recidivism,New,1,0,Low_Chance
PRETRIAL,Female,African-American,Intake,English,Pretrial,Jail Inmate,Single,2,Medium,8,Risk of Recidivism,New,1,0,High_Chance
PRETRIAL,Male,African-American,Intake,English,Pretrial,Jail Inmate,Married,1,Low,8,Risk of Recidivism,New,1,0,Low_Chance
PRETRIAL,Male,Caucasian,Intake,English,Pretrial,Jail Inmate,Single,1,Low,8,Risk of Recidivism,New,1,0,Low_Chance
PRETRIAL,Male,Caucasian,Intake,English,Pretrial,Jail Inmate,Single,1,Low,8,Risk of Recidivism,New,1,0,High_Chance
Probation,Male,Caucasian,Intake,English,Post Sentence,Probation,Single,1,Low,8,Risk of Recidivism,New,1,0,Low_Chance
PRETRIAL,Male,African-American,Intake,English,Post Sentence,Probation,Single,1,Low,8,Risk of Recidivism,New,1,0,Low_Chance
PRETRIAL,Male,African-American,Intake,English,Pretrial,Jail Inmate,Married,2,Medium,8,Risk of Recidivism,New,1,0,High_Chance
PRETRIAL,Female,Caucasian,Intake,English,Pretrial,Jail Inmate,Single,1,Low,8,Risk of Recidivism,New,1,0,Low_Chance
PRETRIAL,Male,Caucasian,Intake,English,Pretrial,Jail Inmate,Single,1,Low,8,Risk of Recidivism,New,1,0,Low_Chance
PRETRIAL,Female,African-American,Intake,English,Pretrial,Jail Inmate,Single,1,Low,8,Risk of Recidivism,New,1,0,Low_Chance
PRETRIAL,Male,African-American,Intake,English,Pretrial,Jail Inmate,Single,4,High,8,Risk of Recidivism,New,1,0,High_Chance
