num_trainings: 10, num_epochs: 200, batchsize: 256, fair_epochs:30, lamda:0
train_idx ,accuracy_original, accuracy_generated, difference_accuracy, f1_original, f1_generated, difference_f1, demographic_parity_data, demographic_parity_classifier
0, 0.816786, 0.792221 , 0.024565, 0.615054, 0.564938, 0.050116, -0.024066, -0.137486
2, 0.811054, 0.770522 , 0.040532, 0.599566, 0.512397, 0.087169, -0.025910, -0.045211
3, 0.813511, 0.786694 , 0.026817, 0.607497, 0.555840, 0.051657, -0.036993, -0.092412
4, 0.817810, 0.793245 , 0.024565, 0.624789, 0.569113, 0.055677, -0.017382, -0.080392
5, 0.816786, 0.741249 , 0.075537, 0.630012, 0.511592, 0.118420, -0.009929, -0.098248
6, 0.811464, 0.771750 , 0.039713, 0.607918, 0.545825, 0.062093, 0.013741, -0.046956
7, 0.823337, 0.779734 , 0.043603, 0.631039, 0.523472, 0.107567, -0.024298, -0.046623
8, 0.824974, 0.775844 , 0.049130, 0.640303, 0.562525, 0.077778, -0.042657, -0.123606
9, 0.820676, 0.773797 , 0.046878, 0.621762, 0.514286, 0.107476, -0.012902, -0.069193
0, 0.820266, 0.766428 , 0.053838, 0.645682, 0.531801, 0.113881, 0.057310, -0.027654
1, 0.811668, 0.784647 , 0.027021, 0.611814, 0.542211, 0.069604, -0.001939, -0.078489
2, 0.821085, 0.761924 , 0.059161, 0.628717, 0.511960, 0.116757, 0.017178, -0.069053
3, 0.809007, 0.770931 , 0.038076, 0.603822, 0.560314, 0.043507, -0.029017, -0.151406
4, 0.809621, 0.769294 , 0.040328, 0.616653, 0.523467, 0.093186, 0.025478, -0.058911
5, 0.811054, 0.761720 , 0.049335, 0.598870, 0.497409, 0.101461, 0.025336, -0.044389
6, 0.817810, 0.763153 , 0.054657, 0.622881, 0.522098, 0.100783, -0.010823, -0.056249
7, 0.812487, 0.764176 , 0.048311, 0.619285, 0.544664, 0.074621, -0.035147, -0.140924
9, 0.811259, 0.785056 , 0.026203, 0.610970, 0.548581, 0.062389, -0.030705, -0.117134
