lamda ,accuracy_original, accuracy_generated, difference_accuracy, f1_original, f1_generated, difference_f1, demographic_parity_data, demographic_parity_classifier
0.050000, 0.818628, 0.782395 , 0.036233, 0.631141, 0.553924, 0.077217, -0.167790, -0.197268
0.100000, 0.820471, 0.789560 , 0.030911, 0.632901, 0.551483, 0.081417, -0.140827, -0.150342
0.150000, 0.820880, 0.779734 , 0.041146, 0.629080, 0.540171, 0.088909, -0.095183, -0.146317
0.200000, 0.820676, 0.774002 , 0.046673, 0.626917, 0.530213, 0.096704, -0.124627, -0.133123
0.250000, 0.809826, 0.789355 , 0.020471, 0.624343, 0.558179, 0.066163, -0.082875, -0.111814
0.300000, 0.822518, 0.790379 , 0.032139, 0.613464, 0.553229, 0.060235, -0.055360, -0.172840
0.350000, 0.822723, 0.778301 , 0.044422, 0.635828, 0.511942, 0.123886, -0.035475, -0.087470
0.400000, 0.806960, 0.757625 , 0.049335, 0.600254, 0.473310, 0.126945, 0.030085, -0.022519
0.450000, 0.817400, 0.767656 , 0.049744, 0.624895, 0.510987, 0.113908, -0.038299, -0.100568
0.500000, 0.819243, 0.782600 , 0.036643, 0.629147, 0.539063, 0.090085, -0.013516, -0.087042
0.550000, 0.818219, 0.785056 , 0.033163, 0.627829, 0.543875, 0.083954, -0.035274, -0.099772
0.600000, 0.815763, 0.743296 , 0.072467, 0.613402, 0.498400, 0.115002, 0.071269, -0.014167
0.650000, 0.825589, 0.744729 , 0.080860, 0.628920, 0.467322, 0.161598, 0.135764, 0.036493
0.700000, 0.825793, 0.768066 , 0.057728, 0.640169, 0.504591, 0.135578, 0.065892, 0.005317
0.050000, 0.817400, 0.793859 , 0.023541, 0.619454, 0.566135, 0.053319, -0.153344, -0.154680
0.100000, 0.809212, 0.761720 , 0.047492, 0.617719, 0.515404, 0.102316, -0.140232, -0.186974
0.150000, 0.811668, 0.784852 , 0.026817, 0.634340, 0.554472, 0.079868, -0.112037, -0.154052
0.200000, 0.821085, 0.768884 , 0.052201, 0.636741, 0.539372, 0.097370, -0.104020, -0.114929
0.250000, 0.814534, 0.789969 , 0.024565, 0.618687, 0.553913, 0.064774, -0.090913, -0.187678
0.300000, 0.820061, 0.778915 , 0.041146, 0.636025, 0.538067, 0.097958, -0.060085, -0.133379
0.350000, 0.816172, 0.768066 , 0.048106, 0.636143, 0.503288, 0.132855, -0.059472, -0.115958
0.400000, 0.823746, 0.778301 , 0.045445, 0.625163, 0.509289, 0.115875, -0.062478, -0.121892
0.450000, 0.809621, 0.770317 , 0.039304, 0.611853, 0.526981, 0.084872, -0.041702, -0.094510
0.500000, 0.814125, 0.770522 , 0.043603, 0.617845, 0.502882, 0.114963, -0.031020, -0.072048
0.550000, 0.812282, 0.778506 , 0.033777, 0.611934, 0.529565, 0.082369, -0.008716, -0.086121
0.600000, 0.819243, 0.763562 , 0.055681, 0.626954, 0.521739, 0.105215, 0.034143, -0.056721
0.650000, 0.820266, 0.764790 , 0.055476, 0.630160, 0.524224, 0.105936, 0.044889, -0.021790
0.700000, 0.810031, 0.773388 , 0.036643, 0.603419, 0.526316, 0.077103, 0.036766, -0.067410
0.050000, 0.813306, 0.778096 , 0.035210, 0.620632, 0.550953, 0.069680, -0.163273, -0.177676
0.100000, 0.828250, 0.778301 , 0.049949, 0.636324, 0.523956, 0.112368, -0.142982, -0.152625
0.150000, 0.814534, 0.778506 , 0.036029, 0.625929, 0.558007, 0.067922, -0.128567, -0.178457
0.200000, 0.810850, 0.778915 , 0.031934, 0.621311, 0.544304, 0.077008, -0.150457, -0.176032
0.250000, 0.818424, 0.780757 , 0.037666, 0.607348, 0.484848, 0.122500, -0.038869, -0.032171
0.300000, 0.822313, 0.788946 , 0.033367, 0.629377, 0.565895, 0.063482, -0.111183, -0.127917
0.350000, 0.815558, 0.789355 , 0.026203, 0.620312, 0.551634, 0.068678, -0.051241, -0.103170
0.400000, 0.815558, 0.786285 , 0.029273, 0.620951, 0.550000, 0.070951, -0.050020, -0.087697
0.450000, 0.814534, 0.773593 , 0.040942, 0.630506, 0.551500, 0.079005, -0.016886, -0.096977
0.500000, 0.817810, 0.773183 , 0.044626, 0.623519, 0.536402, 0.087118, 0.005811, -0.064039
0.550000, 0.811464, 0.769294 , 0.042170, 0.618949, 0.517345, 0.101604, 0.001373, -0.065961
0.600000, 0.818014, 0.768066 , 0.049949, 0.612298, 0.511006, 0.101293, 0.043581, -0.010317
0.650000, 0.815763, 0.773593 , 0.042170, 0.620893, 0.530560, 0.090333, 0.088292, -0.024462
0.700000, 0.812078, 0.750461 , 0.061617, 0.619718, 0.494401, 0.125318, 0.126467, 0.051317
0.050000, 0.809212, 0.775026 , 0.034186, 0.614876, 0.534913, 0.079963, -0.166324, -0.172628
