race,sex,LSAT,UGPA,region_first,ZFYA,sander_index,first_pf
White,1,39.0,3.1,GL,-0.98,0.782738095238,1.0
White,1,36.0,3.0,GL,0.09,0.735714285714,1.0
White,2,30.0,3.1,MS,-0.35,0.670238095238,1.0
Hispanic,2,39.0,2.2,NE,0.58,0.697023809524,1.0
White,1,37.0,3.4,GL,-1.26,0.78630952381,1.0
White,1,30.5,3.6,GL,0.3,0.724107142857,1.0
White,2,36.0,3.6,GL,-0.1,0.7928571428569999,1.0
White,2,37.0,2.7,NE,-0.12,0.719642857143,0.0
White,1,37.0,2.6,GL,1.53,0.7101190476189999,1.0
White,2,31.0,3.6,GL,0.34,0.7303571428569999,1.0
White,2,41.0,3.2,GL,1.53,0.817261904762,1.0
White,2,35.0,3.1,GL,-0.68,0.732738095238,1.0
White,1,35.0,3.2,NE,-0.17,0.742261904762,1.0
White,2,35.0,2.9,NG,-0.42,0.71369047619,1.0
White,2,41.0,2.3,NG,-0.35,0.731547619048,1.0
White,2,30.5,3.3,GL,0.85,0.695535714286,1.0
White,1,36.0,3.0,GL,0.04,0.735714285714,1.0
White,2,40.0,3.9,GL,2.48,0.8714285714290001,1.0
White,2,36.0,3.4,GL,0.27,0.77380952381,1.0
White,2,29.0,2.7,GL,0.88,0.6196428571429999,1.0
White,2,37.0,3.2,GL,0.58,0.767261904762,1.0
White,2,30.0,3.1,MS,1.99,0.670238095238,1.0
White,2,40.0,3.1,GL,-0.8,0.795238095238,1.0
Asian,2,31.0,3.1,GL,0.51,0.682738095238,1.0
White,1,37.0,3.6,GL,0.81,0.8053571428569999,1.0
Black,2,29.0,2.8,NE,-1.03,0.6291666666669999,1.0
White,2,34.0,2.8,GL,-0.12,0.691666666667,1.0
White,2,35.0,3.0,NE,-0.61,0.723214285714,1.0
White,2,40.0,3.4,GL,-0.73,0.8238095238099999,1.0
White,2,36.0,2.6,NE,-0.63,0.697619047619,1.0
White,2,29.0,2.9,MS,-0.02,0.63869047619,1.0
White,2,35.0,2.5,NG,0.02,0.675595238095,1.0
White,2,32.0,3.4,SE,0.65,0.72380952381,1.0
White,1,36.0,2.7,NE,-0.05,0.7071428571430001,1.0
White,2,36.0,3.3,GL,0.53,0.764285714286,1.0
White,2,36.0,2.5,MS,-1.1,0.688095238095,0.0
White,2,38.0,3.6,GL,1.41,0.817857142857,1.0
White,2,36.0,3.6,GL,1.18,0.7928571428569999,1.0
White,2,32.5,3.2,MS,0.76,0.711011904762,1.0
White,1,27.0,3.5,GL,-1.05,0.670833333333,0.0
White,2,36.0,2.4,GL,0.39,0.678571428571,1.0
Black,1,19.0,3.2,GL,-0.7,0.542261904762,0.0
White,1,34.0,3.7,GL,1.23,0.777380952381,1.0
White,1,35.0,3.1,GL,1.71,0.732738095238,1.0
Hispanic,1,31.0,3.2,NG,-0.82,0.692261904762,1.0
White,2,36.0,2.8,NE,-0.17,0.7166666666670001,1.0
Other,2,32.0,3.0,GL,-0.63,0.6857142857140001,1.0
White,1,38.0,3.7,GL,-0.05,0.8273809523810001,1.0
White,2,34.0,3.2,Mt,0.37,0.729761904762,1.0
White,2,38.0,2.8,GL,0.44,0.7416666666670001,1.0
White,1,36.0,3.4,MS,0.46,0.77380952381,1.0
White,1,42.0,3.5,GL,-0.42,0.858333333333,1.0
White,2,29.0,2.3,GL,-0.93,0.581547619048,0.0
White,2,31.0,3.7,GL,-0.49,0.739880952381,1.0
Black,1,23.0,2.6,NE,0.48,0.535119047619,1.0
White,2,37.0,3.8,GL,0.72,0.824404761905,1.0
White,1,33.0,3.3,GL,-1.24,0.726785714286,1.0
White,2,35.0,3.3,GL,-0.7,0.7517857142859999,1.0
White,2,36.0,3.2,NE,0.83,0.754761904762,1.0
White,2,35.5,2.4,GL,-0.63,0.672321428571,1.0
White,2,41.0,3.4,GL,-0.05,0.83630952381,1.0
White,1,34.0,3.5,GL,0.55,0.7583333333329999,1.0
Asian,1,27.0,2.9,GL,-0.77,0.61369047619,1.0
White,2,29.0,3.3,NE,-0.98,0.676785714286,0.0
White,1,33.0,3.3,GL,1.27,0.726785714286,1.0
White,2,32.0,2.9,MS,-0.62,0.6761904761900001,1.0
White,2,39.0,2.3,NE,0.51,0.706547619048,1.0
Asian,2,23.0,3.7,FW,-0.17,0.639880952381,1.0
White,1,39.0,3.4,GL,-0.56,0.81130952381,1.0
White,1,39.0,3.0,GL,-0.42,0.773214285714,1.0
White,1,32.0,3.8,NE,-0.08,0.761904761905,1.0
White,2,29.0,3.3,FW,-1.19,0.676785714286,0.0
White,2,31.0,3.0,GL,-1.07,0.673214285714,1.0
White,1,36.0,3.3,GL,-0.49,0.764285714286,1.0
