age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39.0, Self-emp-not-inc,197569.62, Some-college,10.0, Never-married, Prof-specialty, Husband, Other, Male,0.0,0.0,40.0, ?, <=50K
36.0, Private,93327.93, HS-grad,9.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
36.0, Private,366517.3, Assoc-acdm,10.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,50.0, United-States, <=50K
59.0, Self-emp-inc,12285.0, Doctorate,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,45.0, United-States, >50K
33.0, ?,224349.02, Masters,13.0, Never-married, Tech-support, Not-in-family, White, Male,0.0,0.0,40.0, Columbia, <=50K
76.0, Private,135521.9, Bachelors,13.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,50.0, United-States, >50K
28.0, Private,182582.31, Some-college,11.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,21.0, United-States, <=50K
49.0, Private,159418.69, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
33.0, Private,143358.28, HS-grad,9.0, Never-married, Other-service, Not-in-family, Black, Female,0.0,0.0,38.0, United-States, <=50K
44.0, Private,1490400.0, HS-grad,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,4356.0,40.0, United-States, >50K
28.0, Private,176291.89, Some-college,9.0, Never-married, Exec-managerial, Other-relative, Black, Male,0.0,0.0,40.0, ?, <=50K
17.0, Private,242706.88, 11th,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
90.0, Private,229796.67, HS-grad,9.0, Married-civ-spouse, Craft-repair, Wife, White, Female,0.0,0.0,25.0, United-States, >50K
22.0, Private,376294.84, HS-grad,9.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,20.0, United-States, <=50K
44.0, Private,1490400.0, 5th-6th,9.0, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, United-States, <=50K
31.0, Private,161680.38, Some-college,10.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
21.0, Private,116711.13, Bachelors,13.0, Never-married, Sales, Not-in-family, White, Male,99999.0,0.0,40.0, United-States, <=50K
19.0, Private,197113.1, 12th,9.0, Never-married, Machine-op-inspct, Own-child, White, Male,0.0,0.0,1.0, United-States, <=50K
62.0, Self-emp-not-inc,219950.6, 10th,9.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
34.0, Private,177556.34, HS-grad,9.0, Never-married, Other-service, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
31.0, Private,226686.2, 12th,9.0, Never-married, Adm-clerical, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
90.0, Self-emp-not-inc,12285.0, Masters,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
26.0, Private,360444.53, 11th,9.0, Never-married, Other-service, Other-relative, White, Female,0.0,4356.0,1.0, United-States, <=50K
54.0, Private,182114.16, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, United-States, >50K
44.0, Private,153191.72, Masters,13.0, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0.0,0.0,40.0, United-States, >50K
21.0, ?,297658.34, 11th,7.0, Never-married, Other-service, Other-relative, White, Female,0.0,0.0,1.0, United-States, <=50K
40.0, Federal-gov,12285.0, Some-college,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,70.0, United-States, >50K
50.0, Self-emp-not-inc,178973.84, 7th-8th,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
32.0, Private,12285.0, Bachelors,14.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
48.0, Self-emp-inc,638415.3, Some-college,10.0, Divorced, Sales, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
32.0, Private,12285.0, HS-grad,9.0, Divorced, Handlers-cleaners, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
35.0, Private,208710.05, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
39.0, Private,134862.95, HS-grad,9.0, Married-civ-spouse, Transport-moving, Wife, Black, Male,0.0,1848.0,45.0, Puerto-Rico, <=50K
28.0, Private,54961.656, Bachelors,13.0, Never-married, Sales, Not-in-family, White, Female,0.0,0.0,82.37397, United-States, >50K
40.0, State-gov,221679.1, HS-grad,9.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,25.0, United-States, <=50K
38.0, Self-emp-inc,217668.95, Masters,14.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
42.0, Private,195506.47, Bachelors,16.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,40.0, United-States, >50K
17.0, Private,148717.94, Some-college,10.0, Never-married, Tech-support, Unmarried, White, Female,0.0,0.0,50.0, United-States, <=50K
17.0, ?,197419.81, 1st-4th,9.0, Never-married, ?, Own-child, White, Male,0.0,0.0,50.0, United-States, <=50K
37.0, Private,338261.03, Bachelors,13.0, Divorced, Exec-managerial, Not-in-family, White, Female,0.0,0.0,99.0, Germany, <=50K
33.0, Local-gov,311000.28, Some-college,10.0, Never-married, Craft-repair, Husband, Black, Male,0.0,0.0,50.0, ?, <=50K
45.0, Self-emp-not-inc,134692.22, Some-college,10.0, Never-married, ?, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
35.0, Private,169535.52, Assoc-voc,10.0, Divorced, Prof-specialty, Unmarried, Black, Female,0.0,0.0,40.0, Taiwan, >50K
41.0, Local-gov,339444.44, Masters,16.0, Widowed, Prof-specialty, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
53.0, Private,82559.61, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
42.0, Private,175078.48, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
51.0, Self-emp-not-inc,145330.28, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,45.0, United-States, >50K
32.0, Private,146250.8, HS-grad,9.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
44.0, Local-gov,200697.1, Bachelors,12.0, Married-spouse-absent, Prof-specialty, Wife, White, Female,0.0,0.0,1.0, United-States, >50K
31.0, Private,125040.6, HS-grad,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
47.0, Private,44760.406, Assoc-acdm,10.0, Married-civ-spouse, Adm-clerical, Husband, White, Female,0.0,0.0,40.0, United-States, <=50K
35.0, Self-emp-not-inc,12285.0, 11th,8.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
59.0, Local-gov,411307.56, 7th-8th,6.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
36.0, Private,169660.03, Some-college,12.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,60.0, United-States, >50K
35.0, Private,225315.78, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
52.0, Private,189805.86, Masters,12.0, Divorced, Exec-managerial, Unmarried, White, Female,0.0,0.0,40.0, United-States, >50K
