epoch, lambda, acc, f1, pmale, pfemale, dp, omale, ofemale, deo
100, 0.300000, 0.759443, 0.533730, 0.298254, 0.219527, 0.078727, 0.551263, 0.632153, -0.080890
100, 0.400000, 0.752687, 0.515443, 0.299568, 0.220164, 0.079404, 0.536749, 0.637532, -0.100783
100, 0.500000, 0.746955, 0.505204, 0.283584, 0.241552, 0.042032, 0.513459, 0.641944, -0.128485
100, 0.600000, 0.761081, 0.526572, 0.292761, 0.211115, 0.081647, 0.542532, 0.646302, -0.103770
100, 0.700000, 0.751561, 0.504795, 0.286289, 0.223465, 0.062824, 0.522739, 0.602817, -0.080078
100, 0.800000, 0.743065, 0.470687, 0.274803, 0.214720, 0.060083, 0.489362, 0.522667, -0.033305
100, 0.900000, 0.738254, 0.487267, 0.298968, 0.209237, 0.089731, 0.520202, 0.497312, 0.022890
100, 1.000000, 0.744191, 0.506029, 0.306825, 0.209360, 0.097465, 0.540327, 0.532578, 0.007749
100, 1.100000, 0.726482, 0.454471, 0.284308, 0.224839, 0.059468, 0.469429, 0.547619, -0.078190
100, 1.200000, 0.730372, 0.471509, 0.299097, 0.241347, 0.057750, 0.516061, 0.557143, -0.041082
100, 1.300000, 0.734159, 0.457716, 0.277088, 0.198829, 0.078260, 0.462231, 0.510386, -0.048155
100, 1.400000, 0.731191, 0.489304, 0.310202, 0.244954, 0.065247, 0.532045, 0.590529, -0.058484
100, 1.500000, 0.719828, 0.467613, 0.307692, 0.248057, 0.059635, 0.515547, 0.522523, -0.006976
150, 0.300000, 0.764561, 0.535166, 0.302304, 0.212376, 0.089929, 0.559794, 0.691860, -0.132067
150, 0.400000, 0.764561, 0.533847, 0.282793, 0.220759, 0.062033, 0.532710, 0.686217, -0.153507
150, 0.500000, 0.759238, 0.519608, 0.285913, 0.216535, 0.069378, 0.531883, 0.620787, -0.088904
150, 0.600000, 0.760262, 0.501490, 0.273355, 0.204308, 0.069047, 0.510215, 0.594752, -0.084537
150, 0.700000, 0.765278, 0.532136, 0.279484, 0.207553, 0.071931, 0.528662, 0.618132, -0.089469
150, 0.800000, 0.762002, 0.522097, 0.289571, 0.211135, 0.078436, 0.558031, 0.530220, 0.027811
150, 0.900000, 0.752380, 0.493827, 0.266820, 0.216476, 0.050344, 0.488360, 0.598886, -0.110525
150, 1.000000, 0.749616, 0.504256, 0.297771, 0.213848, 0.083923, 0.536896, 0.565868, -0.028973
150, 1.100000, 0.752073, 0.512872, 0.297194, 0.229680, 0.067514, 0.544369, 0.626039, -0.081669
