epoch, lambda, acc, f1, pmale, pfemale, dp, omale, ofemale, deo
100, 0.100000, 0.827491, 0.304813, 0.195804, 0.127327, 0.068477, 0.313433, 0.319085, -0.005653
100, 0.200000, 0.829703, 0.323968, 0.161538, 0.133326, 0.028213, 0.306452, 0.348953, -0.042502
100, 0.300000, 0.830255, 0.308870, 0.171429, 0.124843, 0.046585, 0.382353, 0.313551, 0.068802
100, 0.400000, 0.831251, 0.336522, 0.211111, 0.138835, 0.072276, 0.350877, 0.379132, -0.028255
100, 0.500000, 0.832467, 0.314169, 0.227273, 0.122565, 0.104708, 0.380952, 0.318504, 0.062449
100, 0.600000, 0.835121, 0.349760, 0.219595, 0.131588, 0.088007, 0.376623, 0.372000, 0.004623
100, 0.700000, 0.831914, 0.345955, 0.203008, 0.135468, 0.067540, 0.428571, 0.368369, 0.060202
100, 0.800000, 0.834015, 0.331403, 0.174797, 0.126520, 0.048276, 0.366667, 0.340136, 0.026531
100, 0.900000, 0.832909, 0.319676, 0.129555, 0.133583, -0.004029, 0.234375, 0.357895, -0.123520
100, 1.000000, 0.835011, 0.332737, 0.154150, 0.124915, 0.029236, 0.295082, 0.341040, -0.045958
200, 0.100000, 0.837554, 0.330141, 0.236434, 0.126921, 0.109513, 0.437500, 0.351909, 0.085591
200, 0.200000, 0.856906, 0.413949, 0.197628, 0.120705, 0.076923, 0.483333, 0.412729, 0.070604
200, 0.300000, 0.843747, 0.364944, 0.172414, 0.127078, 0.045336, 0.413793, 0.379722, 0.034071
200, 0.400000, 0.843525, 0.367456, 0.206642, 0.127223, 0.079419, 0.402985, 0.384770, 0.018216
200, 0.500000, 0.834789, 0.365874, 0.156716, 0.134587, 0.022130, 0.327586, 0.383256, -0.055670
200, 0.600000, 0.834568, 0.350130, 0.224335, 0.132118, 0.092216, 0.394366, 0.370553, 0.023813
200, 0.700000, 0.842641, 0.378331, 0.215017, 0.128229, 0.086788, 0.438356, 0.388943, 0.049413
200, 0.800000, 0.841314, 0.387014, 0.210938, 0.138159, 0.072779, 0.400000, 0.423611, -0.023611
200, 0.900000, 0.852483, 0.365366, 0.190840, 0.119121, 0.071719, 0.349206, 0.383881, -0.034675
200, 1.000000, 0.846843, 0.365552, 0.209877, 0.121250, 0.088627, 0.466667, 0.369154, 0.097512
