epoch, lambda, acc, f1, pmale, pfemale, dp, omale, ofemale, deo
100, 1.000000, 0.872465, 0.855047, 0.257606, 0.517746, -0.260140, 0.727835, 0.807978, -0.080143
100, 1.200000, 0.873694, 0.850600, 0.226804, 0.502501, -0.275697, 0.658747, 0.820683, -0.161936
100, 1.400000, 0.888138, 0.873259, 0.248957, 0.539648, -0.290691, 0.720621, 0.857802, -0.137182
100, 1.600000, 0.861709, 0.834923, 0.241522, 0.484245, -0.242723, 0.679204, 0.792183, -0.112979
100, 1.800000, 0.824524, 0.781811, 0.237252, 0.439739, -0.202487, 0.631944, 0.721154, -0.089209
100, 2.000000, 0.771358, 0.755585, 0.460383, 0.488268, -0.027886, 0.745902, 0.779762, -0.033860
150, 1.000000, 0.892440, 0.873828, 0.271580, 0.505721, -0.234140, 0.752515, 0.851626, -0.099111
150, 1.200000, 0.888445, 0.868811, 0.241549, 0.507634, -0.266084, 0.704036, 0.848138, -0.144102
150, 1.400000, 0.894591, 0.876129, 0.247451, 0.514302, -0.266851, 0.713062, 0.861900, -0.148838
150, 1.600000, 0.890289, 0.870886, 0.254743, 0.507874, -0.253131, 0.735729, 0.845015, -0.109285
150, 1.800000, 0.894899, 0.879066, 0.267119, 0.514896, -0.247777, 0.780384, 0.836034, -0.055651
150, 2.000000, 0.879226, 0.858072, 0.248290, 0.503348, -0.255058, 0.707113, 0.828460, -0.121347
epoch, lambda, acc, f1, pmale, pfemale, dp, omale, ofemale, deo
100, 1.000000, 0.893977, 0.906732, 0.739865, 0.475761, 0.264104, 0.962488, 0.939759, 0.022729
100, 1.200000, 0.876767, 0.889986, 0.740968, 0.461668, 0.279300, 0.954274, 0.910591, 0.043683
100, 1.400000, 0.886294, 0.896878, 0.707216, 0.453585, 0.253631, 0.937564, 0.904700, 0.032864
100, 1.600000, 0.868470, 0.879028, 0.711354, 0.444196, 0.267158, 0.927329, 0.895172, 0.032156
100, 1.800000, 0.746159, 0.730594, 0.477532, 0.364719, 0.112813, 0.619818, 0.702216, -0.082398
100, 2.000000, 0.807007, 0.818916, 0.593880, 0.493943, 0.099938, 0.762304, 0.908136, -0.145833
150, 1.000000, 0.898586, 0.909639, 0.738179, 0.471421, 0.266758, 0.964066, 0.942559, 0.021507
150, 1.200000, 0.899508, 0.908685, 0.720515, 0.476011, 0.244504, 0.971983, 0.951444, 0.020539
150, 1.400000, 0.893055, 0.904343, 0.744770, 0.474725, 0.270045, 0.977413, 0.946721, 0.030691
150, 1.600000, 0.897664, 0.908391, 0.723505, 0.476431, 0.247074, 0.973251, 0.941255, 0.031996
150, 1.800000, 0.883221, 0.898123, 0.741096, 0.489409, 0.251687, 0.971516, 0.914867, 0.056649
150, 2.000000, 0.889674, 0.901939, 0.730957, 0.490949, 0.240008, 0.965696, 0.952507, 0.013190
